state_crop,n_samples,R2,RMSE,MAE
massor_chhattisgarh,4647,0.9741787420656022,0.07101680013170811,0.0140266912903227
rabi_rice_andhrapradesh,4734,0.8814952943259474,0.08808225416659479,0.04524652259768028
gram_chhattisgarh,4647,0.8697739182936246,0.08225821420684465,0.046204320967742095
wheat_maharashtra,4741,0.8457380805067631,0.09900911085509091,0.05688857218124426
mustard_andhrapradesh,4734,0.799159871259651,0.3268104256098707,0.12876896198521726
gram_maharashtra,4741,0.7872289196720683,0.0751384782440969,0.043224044889357174
gram_westbengal,4639,0.7737967154802664,0.071239646458416,0.040313102855603945
mustard_westbengal,4639,0.7721231386135163,0.04763194168824947,0.029492331196121283
gram_gujarat,4733,0.7666624329195351,0.14809772106810193,0.08915427782471023
gram_madhyapradesh,4741,0.746524579565911,0.15368721128901142,0.10041482281348828
mustard_chhattisgarh,4647,0.7415790563404683,0.0264101071059199,0.015081954032258444
wheat_telangana,4741,0.7382620706988978,0.35157865725728094,0.19188052323498522
wheat_westbengal,4639,0.7315882179314421,0.10301493421249275,0.059088111368534396
rabi_rice_telangana,4741,0.7294541767329056,0.14187025399635356,0.08295922992623998
mustard_madhyapradesh,4741,0.7276950966410366,0.11614853604919412,0.083003030505796
wheat_madhyapradesh,4741,0.723926326994457,0.23940153882559592,0.13792980542676572
gram_andhrapradesh,4734,0.7211566911274836,0.12160720797879922,0.06692188173178501
gram_uttarakhand,4719,0.7182669114398219,0.015800801929793513,0.010310822033898786
gram_telangana,4741,0.7026447327393641,0.14857578662276655,0.08021646786090672
massor_uttarakhand,4719,0.6960959308394927,0.05136079599807787,0.03295831996822096
potato_uttarpradesh,4715,0.6944499567808424,2.4598009581591507,1.5900872174443292
wheat_uttarakhand,4719,0.6894729029597315,0.19149056681013216,0.12166520820974629
massor_westbengal,4639,0.6734659323068413,0.05710395621487416,0.03616101352370663
potato_uttarakhand,4719,0.6706578678048971,0.7596027282927083,0.4462170768008556
mustard_gujarat,4733,0.6697253614635077,0.09405017469227088,0.05785130195353819
potato_westbengal,4639,0.6502015443162765,2.728194542107476,1.701880628771559
wheat_gujarat,4733,0.6403487032303179,0.11281867592462118,0.07386977856388681
massor_madhyapradesh,4741,0.6181050728846489,0.18754191740824017,0.11904726786090629
gram_rajasthan,4741,0.6127429856483427,0.08721469888149572,0.05310197866174971
massor_rajasthan,4741,0.610336275543623,0.1282511475951155,0.07634613677555353
wheat_jharkhand,4633,0.6059925506806738,0.2223912326215787,0.1591137580906152
gram_jharkhand,4633,0.5951319966038744,0.11733671138964505,0.07933890188781008
mustard_uttarakhand,4719,0.5705586507949256,0.052302716194515805,0.03448828596398336
mustard_rajasthan,4741,0.56935902725742,0.119980474357471,0.07976925637513196
wheat_rajasthan,4741,0.5589384935610905,0.1936395040555845,0.12421365537407822
mustard_jharkhand,4633,0.5538186167906934,0.056505476178005755,0.04005506731391606
gram_uttarpradesh,4715,0.5294497660501185,0.2389385274667122,0.15399843992576928
wheat_uttarpradesh,4715,0.4875775509853204,0.3528342156472995,0.21617684883351113
gram_karnataka,4741,0.4717638889505502,0.08590359529241515,0.06017155258166494
massor_uttarpradesh,4715,0.471337750611141,0.11058596202335118,0.07044794825026515
mustard_uttarpradesh,4715,0.4675339550650154,0.14829219172056948,0.09880056071049882
rabi_rice_karnataka,4741,0.45530691497204323,0.1155281110375379,0.07984582839831418
potato_karnataka,4741,0.44070135003376865,1.6028677153427697,1.1538994275026357
wheat_karnataka,4741,0.40625919373284347,0.14886574720965023,0.10507905458377266
